tag,MSE,R2,xg_boost__n_estimators,xg_boost__learning_rate,xg_boost__max_depth,xg_boost__min_child_weight,xg_boost__gamma,xg_boost__subsample,xg_boost__colsample_bytree,xg_boost__reg_lambda,xg_boost__reg_alpha
xg_boost,117.88203074006304,0.8963983051058168,300,0.01,6,3,0.5,1.0,0.66,1.0,0.0
xg_boost,117.84641163011652,0.8964296092845615,300,0.01,6,3,0.5,1.0,0.66,1.0,0.1
xg_boost,118.12968819787152,0.8961806490964906,300,0.01,6,3,0.5,1.0,0.66,1.0,1.0
xg_boost,117.8329081153286,0.8964414769713521,300,0.01,6,3,0.5,1.0,1.0,0.01,0.0
xg_boost,117.53979368487124,0.8966990832545377,300,0.01,6,3,0.5,1.0,1.0,0.01,0.1
xg_boost,117.4524401350958,0.896775854716269,300,0.01,6,3,0.5,1.0,1.0,0.01,1.0
xg_boost,117.93995761312426,0.8963473955465617,300,0.01,6,3,0.5,1.0,1.0,0.1,0.0
xg_boost,117.873176990018,0.8964060863045719,300,0.01,6,3,0.5,1.0,1.0,0.1,0.1
xg_boost,117.74350055801592,0.8965200536162893,300,0.01,6,3,0.5,1.0,1.0,0.1,1.0
xg_boost,118.17820390817889,0.8961380106232196,300,0.01,6,3,0.5,1.0,1.0,1.0,0.0
