tag,MSE,R2,knr__n_neighbors,knr__weights,knr__metric,high_corr_features_remover__corr_threshold,pca__n_components
high_corr_features_remover + minmax + knr,102.41253167319444,0.909993815061236,35,distance,cosine,0.95,
high_corr_features_remover + minmax + knr,130.62888752820737,0.8851956140804376,35,distance,euclidean,0.95,
high_corr_features_remover + minmax + knr,116.6336396209622,0.8974954649953922,35,distance,cityblock,0.95,
high_corr_features_remover + minmax + knr,130.61165883093932,0.8852107556777327,35,distance,nan_euclidean,0.95,
high_corr_features_remover + minmax + knr,187.1713953319339,0.8355027168232579,35,uniform,cosine,0.95,
high_corr_features_remover + minmax + knr,192.44223147151743,0.8308703945418876,35,uniform,euclidean,0.95,
high_corr_features_remover + minmax + knr,171.9125678794442,0.8489130761142484,35,uniform,cityblock,0.95,
high_corr_features_remover + minmax + knr,192.5038320057012,0.8308162563521418,35,uniform,nan_euclidean,0.95,
std + knr,97.94797593181008,0.9139175304812468,5,distance,cosine,,
std + knr,105.44679099843236,0.9073271286556016,5,distance,euclidean,,
std + knr,92.84891605234264,0.918398885634049,5,distance,cityblock,,
std + knr,105.8734968648541,0.9069521143238576,5,distance,nan_euclidean,,
std + knr,117.46440487202644,0.896765339398394,5,uniform,cosine,,
std + knr,121.0145960416541,0.8936452215987369,5,uniform,euclidean,,
std + knr,106.0690162621171,0.906780280323256,5,uniform,cityblock,,
std + knr,121.41399875038124,0.8932942028954649,5,uniform,nan_euclidean,,
std + knr,100.50515351977502,0.9116701316996398,15,distance,cosine,,
std + knr,116.69687054054312,0.8974398939266112,15,distance,euclidean,,
std + knr,103.60625537405976,0.9089447001293962,15,distance,cityblock,,
std + knr,116.9208656468495,0.89724303379012,15,distance,nan_euclidean,,
std + knr,150.6572154134501,0.8675935359538484,15,uniform,cosine,,
std + knr,155.45102615942844,0.8633804517783608,15,uniform,euclidean,,
std + knr,140.6559483563072,0.8763832404720386,15,uniform,cityblock,,
std + knr,155.98080563164496,0.8629148502706738,15,uniform,nan_euclidean,,
std + knr,104.58934466108413,0.9080807031679542,25,distance,cosine,,
std + knr,125.54282373194228,0.8896655475073134,25,distance,euclidean,,
std + knr,111.13812028564504,0.9023252521469052,25,distance,cityblock,,
std + knr,125.69454994578004,0.889532201544279,25,distance,nan_euclidean,,
std + knr,175.50375419479815,0.8457569293579046,25,uniform,cosine,,
std + knr,176.56689323777567,0.8448225799403626,25,uniform,euclidean,,
std + knr,160.6805493885526,0.8587844377241031,25,uniform,cityblock,,
std + knr,176.97879585811313,0.8444605755760807,25,uniform,nan_euclidean,,
std + knr,107.34334148834316,0.9056603280077536,35,distance,cosine,,
std + knr,133.31325552240432,0.8828364328534722,35,distance,euclidean,,
std + knr,116.9978371646472,0.8971753866716207,35,distance,cityblock,,
std + knr,133.53556002640596,0.8826410585181933,35,distance,nan_euclidean,,
std + knr,194.2664554260148,0.8292671587275231,35,uniform,cosine,,
std + knr,194.7916450030831,0.8288055910909338,35,uniform,euclidean,,
std + knr,173.51126170493788,0.847508049505034,35,uniform,cityblock,,
std + knr,195.0210580974068,0.8286039693063951,35,uniform,nan_euclidean,,
std + pca + knr,97.80504482062128,0.9140431467883235,5,distance,cosine,,0.95
std + pca + knr,105.21457006439284,0.9075312181356128,5,distance,euclidean,,0.95
std + pca + knr,105.40380632267386,0.9073649061288525,5,distance,cityblock,,0.95
std + pca + knr,105.6727747164564,0.9071285208096151,5,distance,nan_euclidean,,0.95
std + pca + knr,118.74978298094284,0.8956356731564096,5,uniform,cosine,,0.95
std + pca + knr,121.19132161530489,0.8934899047209531,5,uniform,euclidean,,0.95
std + pca + knr,121.85481932483329,0.8929067837241904,5,uniform,cityblock,,0.95
std + pca + knr,121.96977070460945,0.8928057576585512,5,uniform,nan_euclidean,,0.95
std + pca + knr,102.00396544759695,0.9103528872046552,15,distance,cosine,,0.95
std + pca + knr,117.66004880982358,0.896593395944211,15,distance,euclidean,,0.95
std + pca + knr,118.27757893520288,0.896050673976869,15,distance,cityblock,,0.95
std + pca + knr,117.47856182070196,0.8967528974352881,15,distance,nan_euclidean,,0.95
std + pca + knr,155.92621188064982,0.8629628304852851,15,uniform,cosine,,0.95
std + pca + knr,158.19039252498854,0.8609729347324936,15,uniform,euclidean,,0.95
std + pca + knr,160.89361122923583,0.8585971863875468,15,uniform,cityblock,,0.95
std + pca + knr,157.6625770781209,0.8614368101386392,15,uniform,nan_euclidean,,0.95
std + pca + knr,105.37017612303792,0.9073944623356808,25,distance,cosine,,0.95
std + pca + knr,127.01848911900296,0.8883686455602026,25,distance,euclidean,,0.95
std + pca + knr,129.3071407270081,0.8863572432784208,25,distance,cityblock,,0.95
std + pca + knr,127.0416093333314,0.8883483261495536,25,distance,nan_euclidean,,0.95
std + pca + knr,177.84384564461266,0.8437003187032853,25,uniform,cosine,,0.95
std + pca + knr,178.79965723886588,0.8428602949902353,25,uniform,euclidean,,0.95
std + pca + knr,184.8073899215216,0.8375803444796543,25,uniform,cityblock,,0.95
std + pca + knr,178.61250299007034,0.8430247772040226,25,uniform,nan_euclidean,,0.95
std + pca + knr,107.67240271913889,0.905371129552142,35,distance,cosine,,0.95
std + pca + knr,133.91183870475493,0.8823103625793401,35,distance,euclidean,,0.95
std + pca + knr,138.54993880368644,0.8782341261222524,35,distance,cityblock,,0.95
std + pca + knr,134.17065511220449,0.8820828994256275,35,distance,nan_euclidean,,0.95
std + pca + knr,195.6940251307073,0.8280125261083086,35,uniform,cosine,,0.95
std + pca + knr,196.1581939807461,0.8276045870926739,35,uniform,euclidean,,0.95
std + pca + knr,205.54841308102792,0.819351907629066,35,uniform,cityblock,,0.95
std + pca + knr,196.41584869222137,0.8273781449060342,35,uniform,nan_euclidean,,0.95
l2 + std + pca + knr,99.83401207269544,0.9122599704646718,5,distance,cosine,,0.95
l2 + std + pca + knr,106.84924631903364,0.9060945680412696,5,distance,euclidean,,0.95
l2 + std + pca + knr,109.6847388234496,0.903602569663968,5,distance,cityblock,,0.95
l2 + std + pca + knr,107.48612720532157,0.9055348394817012,5,distance,nan_euclidean,,0.95
l2 + std + pca + knr,121.31073708269086,0.8933849553513156,5,uniform,cosine,,0.95
l2 + std + pca + knr,123.76402118637776,0.8912288643033137,5,uniform,euclidean,,0.95
l2 + std + pca + knr,124.1605607930387,0.8908803618633334,5,uniform,cityblock,,0.95
l2 + std + pca + knr,124.66796004162124,0.8904344294187432,5,uniform,nan_euclidean,,0.95
l2 + std + pca + knr,103.15118678252124,0.9093446413000776,15,distance,cosine,,0.95
l2 + std + pca + knr,119.4878996131258,0.8949869726407867,15,distance,euclidean,,0.95
l2 + std + pca + knr,121.53830564988031,0.8931849546462254,15,distance,cityblock,,0.95
l2 + std + pca + knr,119.86583478847268,0.8946548208744807,15,distance,nan_euclidean,,0.95
l2 + std + pca + knr,159.74581324177424,0.8596059390884513,15,uniform,cosine,,0.95
l2 + std + pca + knr,158.41011491184614,0.8607798297143519,15,uniform,euclidean,,0.95
l2 + std + pca + knr,164.44877121049123,0.8554727017025976,15,uniform,cityblock,,0.95
l2 + std + pca + knr,158.97296148231612,0.8602851668866079,15,uniform,nan_euclidean,,0.95
l2 + std + pca + knr,106.6423536909579,0.9062763975092148,25,distance,cosine,,0.95
l2 + std + pca + knr,129.11083659707325,0.8865297669484687,25,distance,euclidean,,0.95
l2 + std + pca + knr,131.7821925570608,0.8841820214661174,25,distance,cityblock,,0.95
l2 + std + pca + knr,129.41903080477735,0.8862589076658939,25,distance,nan_euclidean,,0.95
l2 + std + pca + knr,182.2487852440568,0.8398289974718484,25,uniform,cosine,,0.95
l2 + std + pca + knr,184.3315136098109,0.8379985727044628,25,uniform,euclidean,,0.95
l2 + std + pca + knr,190.9676065630541,0.8321663820549197,25,uniform,cityblock,,0.95
l2 + std + pca + knr,184.85976186582204,0.8375343169200647,25,uniform,nan_euclidean,,0.95
l2 + std + pca + knr,109.5806581459556,0.9036940419140338,35,distance,cosine,,0.95
l2 + std + pca + knr,139.0918525951781,0.8777578602577046,35,distance,euclidean,,0.95
l2 + std + pca + knr,140.61538546040188,0.8764188895420387,35,distance,cityblock,,0.95
l2 + std + pca + knr,139.2231198490273,0.8776424948377377,35,distance,nan_euclidean,,0.95
l2 + std + pca + knr,203.42145062243625,0.8212212079312664,35,uniform,cosine,,0.95
l2 + std + pca + knr,206.69957207665857,0.8183402010755625,35,uniform,euclidean,,0.95
l2 + std + pca + knr,213.1503635234586,0.812670864340339,35,uniform,cityblock,,0.95
l2 + std + pca + knr,206.876019093204,0.8181851290102242,35,uniform,nan_euclidean,,0.95
l1 + minmax + knr,96.20745839355628,0.9154472001503569,5,distance,cosine,,
l1 + minmax + knr,99.8652860318549,0.9122324850612168,5,distance,euclidean,,
l1 + minmax + knr,96.34848033241428,0.9153232617367476,5,distance,cityblock,,
l1 + minmax + knr,99.17344951750847,0.9128405118743452,5,distance,nan_euclidean,,
l1 + minmax + knr,118.06178338813685,0.8962403278561439,5,uniform,cosine,,
l1 + minmax + knr,117.66009211972094,0.8965933578809138,5,uniform,euclidean,,
l1 + minmax + knr,111.70418956808038,0.9018277570094388,5,uniform,cityblock,,
l1 + minmax + knr,116.84345197702282,0.8973110694979516,5,uniform,nan_euclidean,,
l1 + minmax + knr,98.2609648455742,0.9136424573276416,15,distance,cosine,,
l1 + minmax + knr,114.21244582168868,0.8996233531874878,15,distance,euclidean,,
l1 + minmax + knr,106.6059640532593,0.9063083788732826,15,distance,cityblock,,
l1 + minmax + knr,114.13115723857791,0.8996947943981027,15,distance,nan_euclidean,,
l1 + minmax + knr,154.1320193999585,0.8645396728657485,15,uniform,cosine,,
l1 + minmax + knr,159.21562377594557,0.8600719009227533,15,uniform,euclidean,,
l1 + minmax + knr,145.8232760839152,0.8718418874999783,15,uniform,cityblock,,
l1 + minmax + knr,159.30603400647627,0.8599924430693388,15,uniform,nan_euclidean,,
l1 + minmax + knr,100.32225424960988,0.9118308743867573,25,distance,cosine,,
l1 + minmax + knr,122.74092741832123,0.8921280195667657,25,distance,euclidean,,
l1 + minmax + knr,116.87180517936832,0.897286151028188,25,distance,cityblock,,
l1 + minmax + knr,122.92971237827628,0.891962104187644,25,distance,nan_euclidean,,
l1 + minmax + knr,177.28142826948164,0.8441946043288019,25,uniform,cosine,,
l1 + minmax + knr,181.0037535902817,0.8409232048647667,25,uniform,euclidean,,
l1 + minmax + knr,171.90657525921102,0.8489183427830452,25,uniform,cityblock,,
l1 + minmax + knr,181.0481723824116,0.8408841670052989,25,uniform,nan_euclidean,,
l1 + minmax + knr,103.17211917030536,0.9093262446806863,35,distance,cosine,,
l1 + minmax + knr,132.0721065682397,0.8839272279005235,35,distance,euclidean,,
l1 + minmax + knr,124.8015889609142,0.8903169884276207,35,distance,cityblock,,
l1 + minmax + knr,132.17988069210307,0.8838325096315228,35,distance,nan_euclidean,,
l1 + minmax + knr,194.60606255764824,0.8289686919110415,35,uniform,cosine,,
l1 + minmax + knr,200.1357834684169,0.8241088463938676,35,uniform,euclidean,,
l1 + minmax + knr,190.222292797976,0.8328214078362478,35,uniform,cityblock,,
l1 + minmax + knr,200.2020550477669,0.8240506030135927,35,uniform,nan_euclidean,,
l2 + minmax + knr,94.62629740494788,0.9168368178664072,5,distance,cosine,,
l2 + minmax + knr,98.90402344049988,0.9130772994326486,5,distance,euclidean,,
l2 + minmax + knr,92.71624741824718,0.9185154826697914,5,distance,cityblock,,
l2 + minmax + knr,97.9032423518739,0.9139568449948414,5,distance,nan_euclidean,,
l2 + minmax + knr,115.43878124156466,0.8985455771497803,5,uniform,cosine,,
